C2931689	(P)+http://purl.obolibrary.org/obo/HP_0003236;(P)+http://purl.obolibrary.org/obo/HP_0008232;(P)+http://purl.obolibrary.org/obo/HP_0000006;(P)+http://purl.obolibrary.org/obo/HP_0002850;(P)+http://purl.obolibrary.org/obo/HP_0001649;(P)+http://purl.obolibrary.org/obo/HP_0002486;(P)+http://purl.obolibrary.org/obo/HP_0004315;(P)+http://purl.obolibrary.org/obo/HP_0003326;(P)+http://purl.obolibrary.org/obo/HP_0000819;(P)+http://purl.obolibrary.org/obo/HP_0003554;(P)+http://purl.obolibrary.org/obo/HP_0008189;(P)+http://purl.obolibrary.org/obo/HP_0000518;(P)+http://purl.obolibrary.org/obo/HP_0003722;(P)+http://purl.obolibrary.org/obo/HP_0007889;(P)+http://purl.obolibrary.org/obo/HP_0000135;(P)+http://purl.obolibrary.org/obo/HP_0003701;(P)+http://purl.obolibrary.org/obo/HP_0001962;(P)+http://purl.obolibrary.org/obo/HP_0002292;(P)+http://purl.obolibrary.org/obo/HP_0000798;(P)-http://purl.obolibrary.org/obo/HP_0001249
C1846058	(P)+http://purl.obolibrary.org/obo/HP_0005709;(P)+http://purl.obolibrary.org/obo/HP_0001263;(P)+http://purl.obolibrary.org/obo/HP_0001419;(P)+http://purl.obolibrary.org/obo/HP_0011344;(P)+http://purl.obolibrary.org/obo/HP_0001251;(P)+http://purl.obolibrary.org/obo/HP_0011968;(P)+http://purl.obolibrary.org/obo/HP_0000431;(P)+http://purl.obolibrary.org/obo/HP_0002916;(P)+http://purl.obolibrary.org/obo/HP_0000369;(P)+http://purl.obolibrary.org/obo/HP_0004322;(P)+http://purl.obolibrary.org/obo/HP_0000272;(P)+http://purl.obolibrary.org/obo/HP_0000400;(P)+http://purl.obolibrary.org/obo/HP_0012450;(P)+http://purl.obolibrary.org/obo/HP_0002072;(P)+http://purl.obolibrary.org/obo/HP_0011800;(P)+http://purl.obolibrary.org/obo/HP_0007021;(P)+http://purl.obolibrary.org/obo/HP_0032792;(P)+http://purl.obolibrary.org/obo/HP_0002133;(P)+http://purl.obolibrary.org/obo/HP_0002167;(P)+http://purl.obolibrary.org/obo/HP_0000252;(P)+http://purl.obolibrary.org/obo/HP_0002121;(P)+http://purl.obolibrary.org/obo/HP_0000248;(P)+http://purl.obolibrary.org/obo/HP_0000256;(P)+http://purl.obolibrary.org/obo/HP_0002061;(P)+http://purl.obolibrary.org/obo/HP_0000047;(P)+http://purl.obolibrary.org/obo/HP_0002063;(P)+http://purl.obolibrary.org/obo/HP_0002750;(P)+http://purl.obolibrary.org/obo/HP_0001288;(P)+http://purl.obolibrary.org/obo/HP_0001344;(P)+http://purl.obolibrary.org/obo/HP_0002205;(P)+http://purl.obolibrary.org/obo/HP_0003763;(P)+http://purl.obolibrary.org/obo/HP_0005280;(P)+http://purl.obolibrary.org/obo/HP_0008947;(P)+http://purl.obolibrary.org/obo/HP_0000232;(P)+http://purl.obolibrary.org/obo/HP_0032169;(P)+http://purl.obolibrary.org/obo/HP_0000218;(P)+http://purl.obolibrary.org/obo/HP_0002015;(P)+http://purl.obolibrary.org/obo/HP_0000028;(P)+http://purl.obolibrary.org/obo/HP_0000286;(P)+http://purl.obolibrary.org/obo/HP_0000817;(P)+http://purl.obolibrary.org/obo/HP_0008936;(P)+http://purl.obolibrary.org/obo/HP_0008762;(P)+http://purl.obolibrary.org/obo/HP_0010804;(P)+http://purl.obolibrary.org/obo/HP_0000160;(P)+http://purl.obolibrary.org/obo/HP_0000297;(P)+http://purl.obolibrary.org/obo/HP_0004209;(P)+http://purl.obolibrary.org/obo/HP_0002191;(P)+http://purl.obolibrary.org/obo/HP_0000463;(P)+http://purl.obolibrary.org/obo/HP_0010864;(P)+http://purl.obolibrary.org/obo/HP_0000687;(P)+http://purl.obolibrary.org/obo/HP_0001387;(P)+http://purl.obolibrary.org/obo/HP_0000739;(P)+http://purl.obolibrary.org/obo/HP_0002376;(P)+http://purl.obolibrary.org/obo/HP_0000582;(P)+http://purl.obolibrary.org/obo/HP_0002307;(P)+http://purl.obolibrary.org/obo/HP_0000508;(P)+http://purl.obolibrary.org/obo/HP_0000716;(P)+http://purl.obolibrary.org/obo/HP_0003676;(P)+http://purl.obolibrary.org/obo/HP_0002020;(P)+http://purl.obolibrary.org/obo/HP_0001773;(P)+http://purl.obolibrary.org/obo/HP_0025336;(P)+http://purl.obolibrary.org/obo/HP_0000767;(P)+http://purl.obolibrary.org/obo/HP_0004299;(P)+http://purl.obolibrary.org/obo/HP_0000426;(P)+http://purl.obolibrary.org/obo/HP_0000581;(P)+http://purl.obolibrary.org/obo/HP_0031473;(P)+http://purl.obolibrary.org/obo/HP_0031936;(P)+http://purl.obolibrary.org/obo/HP_0002540;(P)+http://purl.obolibrary.org/obo/HP_0032989;(P)+http://purl.obolibrary.org/obo/HP_0004325;(P)-http://purl.obolibrary.org/obo/HP_0001510
C3489396	(P)+http://purl.obolibrary.org/obo/HP_0008734;(P)+http://purl.obolibrary.org/obo/HP_0000028;(P)+http://purl.obolibrary.org/obo/HP_0002215;(P)+http://purl.obolibrary.org/obo/HP_0000044;(P)+http://purl.obolibrary.org/obo/HP_0002225;(P)+http://purl.obolibrary.org/obo/HP_0000789;(P)+http://purl.obolibrary.org/obo/HP_0000054;(P)+http://purl.obolibrary.org/obo/HP_0000007;(P)+http://purl.obolibrary.org/obo/HP_0000771;(P)+http://purl.obolibrary.org/obo/HP_0000786;(P)-http://purl.obolibrary.org/obo/HP_0004408
C0751779	(P)+http://purl.obolibrary.org/obo/HP_0002015;(P)+http://purl.obolibrary.org/obo/HP_0000097;(P)+http://purl.obolibrary.org/obo/HP_0003678;(P)+http://purl.obolibrary.org/obo/HP_0001873;(P)+http://purl.obolibrary.org/obo/HP_0001272;(P)+http://purl.obolibrary.org/obo/HP_0001260;(P)+http://purl.obolibrary.org/obo/HP_0002174;(P)+http://purl.obolibrary.org/obo/HP_0001336;(P)+http://purl.obolibrary.org/obo/HP_0002197;(P)+http://purl.obolibrary.org/obo/HP_0000007;(P)+http://purl.obolibrary.org/obo/HP_0002080;(P)+http://purl.obolibrary.org/obo/HP_0002066;(P)+http://purl.obolibrary.org/obo/HP_0000100;(P)+http://purl.obolibrary.org/obo/HP_0000083;(P)+http://purl.obolibrary.org/obo/HP_0000112;(P)+http://purl.obolibrary.org/obo/HP_0100820;(P)+http://purl.obolibrary.org/obo/HP_0000093;(P)-http://purl.obolibrary.org/obo/HP_0001268
C3150751	(P)+http://purl.obolibrary.org/obo/HP_0001508;(P)+http://purl.obolibrary.org/obo/HP_0002837;(P)+http://purl.obolibrary.org/obo/HP_0001875;(P)+http://purl.obolibrary.org/obo/HP_0000007;(P)+http://purl.obolibrary.org/obo/HP_0002014;(P)+http://purl.obolibrary.org/obo/HP_0002718;(P)+http://purl.obolibrary.org/obo/HP_0000403;(P)+http://purl.obolibrary.org/obo/HP_0004432;(P)-http://purl.obolibrary.org/obo/HP_0002843
C0270959	(P)+http://purl.obolibrary.org/obo/HP_0003326;(P)+http://purl.obolibrary.org/obo/HP_0003552;(P)+http://purl.obolibrary.org/obo/HP_0010548;(P)+http://purl.obolibrary.org/obo/HP_0003730;(P)+http://purl.obolibrary.org/obo/HP_0003712;(P)+http://purl.obolibrary.org/obo/HP_0000006;(P)+http://purl.obolibrary.org/obo/HP_0003740;(P)+http://purl.obolibrary.org/obo/HP_0012899;(P)+http://purl.obolibrary.org/obo/HP_0025605;(P)-http://purl.obolibrary.org/obo/HP_0001324
C3151433	(P)+http://purl.obolibrary.org/obo/HP_0002645;(P)+http://purl.obolibrary.org/obo/HP_0030680;(P)+http://purl.obolibrary.org/obo/HP_0000347;(P)+http://purl.obolibrary.org/obo/HP_0000336;(P)+http://purl.obolibrary.org/obo/HP_0004322;(P)+http://purl.obolibrary.org/obo/HP_0000324;(P)+http://purl.obolibrary.org/obo/HP_0000272;(P)+http://purl.obolibrary.org/obo/HP_0011800;(P)+http://purl.obolibrary.org/obo/HP_0000684;(P)+http://purl.obolibrary.org/obo/HP_0011220;(P)+http://purl.obolibrary.org/obo/HP_0001730;(P)+http://purl.obolibrary.org/obo/HP_0000244;(P)+http://purl.obolibrary.org/obo/HP_0001270;(P)+http://purl.obolibrary.org/obo/HP_0005280;(P)+http://purl.obolibrary.org/obo/HP_0000218;(P)+http://purl.obolibrary.org/obo/HP_0000160;(P)+http://purl.obolibrary.org/obo/HP_0000768;(P)+http://purl.obolibrary.org/obo/HP_0000007;(P)+http://purl.obolibrary.org/obo/HP_0040160;(P)+http://purl.obolibrary.org/obo/HP_0002650;(P)-http://purl.obolibrary.org/obo/HP_0000591;(P)-http://purl.obolibrary.org/obo/HP_0000364;(P)-http://purl.obolibrary.org/obo/HP_0000703
C0406587	(P)+http://purl.obolibrary.org/obo/HP_0000319;(P)+http://purl.obolibrary.org/obo/HP_0011003;(P)+http://purl.obolibrary.org/obo/HP_0003100;(P)+http://purl.obolibrary.org/obo/HP_0000684;(P)+http://purl.obolibrary.org/obo/HP_0001252;(P)+http://purl.obolibrary.org/obo/HP_0001249;(P)+http://purl.obolibrary.org/obo/HP_0000270;(P)+http://purl.obolibrary.org/obo/HP_0007457;(P)+http://purl.obolibrary.org/obo/HP_0001808;(P)+http://purl.obolibrary.org/obo/HP_0000343;(P)+http://purl.obolibrary.org/obo/HP_0008947;(P)+http://purl.obolibrary.org/obo/HP_0001537;(P)+http://purl.obolibrary.org/obo/HP_0003199;(P)+http://purl.obolibrary.org/obo/HP_0000260;(P)+http://purl.obolibrary.org/obo/HP_0007517;(P)+http://purl.obolibrary.org/obo/HP_0000007;(P)+http://purl.obolibrary.org/obo/HP_0010989;(P)+http://purl.obolibrary.org/obo/HP_0000767;(P)+http://purl.obolibrary.org/obo/HP_0011995;(P)+http://purl.obolibrary.org/obo/HP_0002808;(P)+http://purl.obolibrary.org/obo/HP_0000750;(P)+http://purl.obolibrary.org/obo/HP_0001763;(P)+http://purl.obolibrary.org/obo/HP_0000938;(P)+http://purl.obolibrary.org/obo/HP_0000369;(P)+http://purl.obolibrary.org/obo/HP_0006191;(P)+http://purl.obolibrary.org/obo/HP_0008070;(P)+http://purl.obolibrary.org/obo/HP_0002133;(P)+http://purl.obolibrary.org/obo/HP_0009125;(P)+http://purl.obolibrary.org/obo/HP_0008897;(P)+http://purl.obolibrary.org/obo/HP_0001788;(P)+http://purl.obolibrary.org/obo/HP_0002812;(P)+http://purl.obolibrary.org/obo/HP_0000286;(P)+http://purl.obolibrary.org/obo/HP_0001762;(P)+http://purl.obolibrary.org/obo/HP_0000691;(P)+http://purl.obolibrary.org/obo/HP_0009004;(P)+http://purl.obolibrary.org/obo/HP_0010838;(P)+http://purl.obolibrary.org/obo/HP_0007407;(P)+http://purl.obolibrary.org/obo/HP_0001374;(P)+http://purl.obolibrary.org/obo/HP_0000316;(P)+http://purl.obolibrary.org/obo/HP_0002645;(P)+http://purl.obolibrary.org/obo/HP_0001611;(P)+http://purl.obolibrary.org/obo/HP_0001263;(P)+http://purl.obolibrary.org/obo/HP_0000431;(P)+http://purl.obolibrary.org/obo/HP_0004322;(P)+http://purl.obolibrary.org/obo/HP_0004426;(P)+http://purl.obolibrary.org/obo/HP_0004993;(P)+http://purl.obolibrary.org/obo/HP_0001305;(P)+http://purl.obolibrary.org/obo/HP_0000252;(P)+http://purl.obolibrary.org/obo/HP_0000455;(P)+http://purl.obolibrary.org/obo/HP_0003160;(P)+http://purl.obolibrary.org/obo/HP_0000218;(P)+http://purl.obolibrary.org/obo/HP_0000023;(P)+http://purl.obolibrary.org/obo/HP_0000973;(P)+http://purl.obolibrary.org/obo/HP_0003691;(P)+http://purl.obolibrary.org/obo/HP_0002751;(P)+http://purl.obolibrary.org/obo/HP_0006114;(P)+http://purl.obolibrary.org/obo/HP_0002761;(P)+http://purl.obolibrary.org/obo/HP_0006891;(P)+http://purl.obolibrary.org/obo/HP_0002650;(P)+http://purl.obolibrary.org/obo/HP_0001869;(P)+http://purl.obolibrary.org/obo/HP_0000670;(P)+http://purl.obolibrary.org/obo/HP_0000494;(P)+http://purl.obolibrary.org/obo/HP_0200141;(P)+http://purl.obolibrary.org/obo/HP_0001382;(P)+http://purl.obolibrary.org/obo/HP_0001476;(P)+http://purl.obolibrary.org/obo/HP_0008113;(P)+http://purl.obolibrary.org/obo/HP_0005272;(P)+http://purl.obolibrary.org/obo/HP_0000028;(P)+http://purl.obolibrary.org/obo/HP_0001799;(P)+http://purl.obolibrary.org/obo/HP_0001508;(P)+http://purl.obolibrary.org/obo/HP_0002073;(P)+http://purl.obolibrary.org/obo/HP_0025167;(P)+http://purl.obolibrary.org/obo/HP_0001350;(P)+http://purl.obolibrary.org/obo/HP_0001511;(P)+http://purl.obolibrary.org/obo/HP_0005425;(P)+http://purl.obolibrary.org/obo/HP_0000253;(P)+http://purl.obolibrary.org/obo/HP_0007414;(P)-http://purl.obolibrary.org/obo/HP_0002097
C3540844	(P)+http://purl.obolibrary.org/obo/HP_0100750;(P)+http://purl.obolibrary.org/obo/HP_0011108;(P)+http://purl.obolibrary.org/obo/HP_0006532;(P)+http://purl.obolibrary.org/obo/HP_0002110;(P)+http://purl.obolibrary.org/obo/HP_0200073;(P)+http://purl.obolibrary.org/obo/HP_0012256;(P)+http://purl.obolibrary.org/obo/HP_0000007;(P)+http://purl.obolibrary.org/obo/HP_0012735;(P)+http://purl.obolibrary.org/obo/HP_0012265;(P)+http://purl.obolibrary.org/obo/HP_0000403;(P)+http://purl.obolibrary.org/obo/HP_0031417;(P)+http://purl.obolibrary.org/obo/HP_0001696;(P)-http://purl.obolibrary.org/obo/HP_0000144
C4552004	(P)+http://purl.obolibrary.org/obo/HP_0003323;(P)+http://purl.obolibrary.org/obo/HP_0009077;(P)+http://purl.obolibrary.org/obo/HP_0000467;(P)+http://purl.obolibrary.org/obo/HP_0000006;(P)+http://purl.obolibrary.org/obo/HP_0010628;(P)+http://purl.obolibrary.org/obo/HP_0002460;(P)+http://purl.obolibrary.org/obo/HP_0003326;(P)+http://purl.obolibrary.org/obo/HP_0003803;(P)+http://purl.obolibrary.org/obo/HP_0001761;(P)+http://purl.obolibrary.org/obo/HP_0003805;(P)+http://purl.obolibrary.org/obo/HP_0011916;(P)+http://purl.obolibrary.org/obo/HP_0001644;(P)+http://purl.obolibrary.org/obo/HP_0003445;(P)+http://purl.obolibrary.org/obo/HP_0003593;(P)+http://purl.obolibrary.org/obo/HP_0001288;(P)+http://purl.obolibrary.org/obo/HP_0004696;(P)+http://purl.obolibrary.org/obo/HP_0008316;(P)+http://purl.obolibrary.org/obo/HP_0001430;(P)+http://purl.obolibrary.org/obo/HP_0000218;(P)+http://purl.obolibrary.org/obo/HP_0003200;(P)+http://purl.obolibrary.org/obo/HP_0008994;(P)+http://purl.obolibrary.org/obo/HP_0003458;(P)+http://purl.obolibrary.org/obo/HP_0008180;(P)+http://purl.obolibrary.org/obo/HP_0003701;(P)+http://purl.obolibrary.org/obo/HP_0012507;(P)+http://purl.obolibrary.org/obo/HP_0009031;(P)+http://purl.obolibrary.org/obo/HP_0003677;(P)+http://purl.obolibrary.org/obo/HP_0003789;(P)+http://purl.obolibrary.org/obo/HP_0009027;(P)+http://purl.obolibrary.org/obo/HP_0011463;(P)+http://purl.obolibrary.org/obo/HP_0002650;(P)-http://purl.obolibrary.org/obo/HP_0003805
